rank,word,frequency
483,boiling,14
484,whole,14
485,seeing,14
486,true,14
487,violent,14
488,party,14
489,shore,14
490,coming,14
491,stone,14
492,beginning,14
493,book,14
494,naked,14
495,river,14
496,stay,14
497,goes,13
498,placed,13
499,become,13
500,ottimo,13
501,shade,13
502,spirits,13
503,ghibelline,13
504,poetry,13
505,tail,13
506,guelphs,13
507,circles,13
508,felt,13
509,tomb,13
510,advance,13
511,sound,13
512,imola,13
513,till,13
514,house,13
515,language,13
516,gone,13
517,lead,13
518,moment,13
519,thing,13
520,wished,13
521,wish,13
522,abyss,13
523,bore,13
524,anger,13
525,broken,13
526,vain,13
527,weary,13
528,looked,13
529,commentators,13
530,deep,13
531,arno,13
532,sand,13
533,thebes,13
534,stars,13
535,follow,13
536,infernal,13
537,answered,13
538,faces,13
539,takes,13
540,descend,13
541,ground,12
542,behoves,12
543,cause,12
544,led,12
545,canst,12
546,hence,12
547,remained,12
548,plain,12
549,seed,12
550,nd,12
551,town,12
552,taken,12
553,fashion,12
554,end,12
555,entered,12
556,seest,12
557,small,12
558,departed,12
559,looks,12
560,sin,12
561,order,12
562,horrible,12
563,whatever,12
564,brought,12
565,six,12
566,brother,12
567,fraud,12
568,ravenna,12
569,lucca,12
570,siena,12
571,aspect,12
572,hardly,12
573,cold,12
574,form,12
575,shades,12
576,french,12
577,four,12
578,shoulders,12
579,moon,12
580,lay,12
581,memory,11
582,citizens,11
583,bear,11
584,mode,11
585,sometimes,11
586,summit,11
587,worthy,11
588,colour,11
589,image,11
590,around,11
591,arrived,11
592,shame,11
593,false,11
594,dis,11
595,continued,11
596,lofty,11
597,holy,11
598,sides,11
599,described,11
600,wretched,11
601,ask,11
602,beast,11
603,longer,11
604,remarks,11
605,cruel,11
606,famous,11
607,viii,11
608,sad,11
609,legs,11
610,convito,11
611,mentioned,11
612,star,11
613,running,11
614,knowest,11
615,law,11
616,reply,11
617,mount,11
618,rain,11
619,count,11
620,countenance,11
621,ne,11
622,third,11
623,company,11
624,better,11
625,heads,11
626,gentle,11
627,serpent,11
628,honour,11
629,daughter,11
630,beyond,11
631,gold,11
632,rise,11
633,call,11
634,lake,11
635,v,11
636,escape,11
637,eld,11
638,thinking,11
639,wast,11
640,likewise,11
641,sudden,11
642,song,10
643,received,10
644,blind,10
645,although,10
646,ghibellines,10
647,frederick,10
648,disdain,10
649,days,10
650,saint,10
651,papal,10
652,villani,10
653,force,10
654,vengeance,10
655,romans,10
656,poets,10
657,tears,10
658,neck,10
659,seem,10
660,fame,10
661,stretched,10
662,victory,10
663,question,10
664,bodies,10
665,pitch,10
666,boat,10
667,france,10
668,large,10
669,vii,10
670,read,10
671,chosen,10
672,gives,10
673,minos,10
674,pisa,10
675,changed,10
676,opened,10
677,brunetto,10
678,truly,10
679,murdered,10
680,returned,10
681,thence,10
682,wrath,10
683,wouldst,10
684,opposite,10
685,sent,10
686,path,10
687,walls,10
688,cord,10
689,friar,10
690,noble,10
691,virtue,10
692,yonder,10
693,wadsworth,10
694,caused,10
695,rather,10
696,gathered,10
697,thereafter,10
698,didst,10
699,intellect,10
700,elsewhere,10
701,turns,9
702,vast,9
703,pleased,9
704,smote,9
705,journey,9
706,p,9
707,feel,9
708,needs,9
709,conductor,9
710,issue,9
711,d,9
712,herself,9
713,torment,9
714,ready,9
715,laid,9
716,latin,9
717,lying,9
718,neri,9
719,manifest,9
720,dei,9
721,castle,9
722,move,9
723,degli,9
724,sign,9
725,author,9
726,tradition,9
727,bianchi,9
728,wood,9
729,enemies,9
730,ofce,9
731,troy,9
732,mountains,9
733,silver,9
734,peter,9
735,sixth,9
736,wife,9
737,wise,9
738,narrow,9
739,dismal,9
740,united,9
741,covered,9
742,several,9
743,verona,9
744,iron,9
745,knowledge,9
746,della,9
747,banished,9
748,christ,9
749,folk,9
750,members,9
751,cavalcanti,9
752,twixt,9
753,spake,9
754,following,9
755,peace,9
756,crime,9
757,uprose,9
758,fanny,9
759,sense,9
760,buoso,9
761,remain,9
762,exile,9
763,slow,9
764,run,9
765,present,9
766,woman,9
767,comfort,9
768,lifted,9
769,leave,9
770,sharp,9
771,green,9
772,enough,9
773,enter,9
774,believe,9
775,leaves,9
776,modern,9
777,broke,8
778,cast,8
779,ch,8
780,monster,8
781,mire,8
782,centaur,8
783,burden,8
784,help,8
785,built,8
786,meet,8
787,savage,8
788,borne,8
789,state,8
790,san,8
791,closed,8
792,companions,8
793,truth,8
794,early,8
795,looking,8
796,santa,8
797,low,8
798,loud,8
799,translation,8
800,named,8
801,mention,8
802,ears,8
803,scattered,8
804,chin,8
805,morning,8
806,condition,8
807,somewhat,8
808,extended,8
809,calls,8
810,mother,8
811,century,8
812,universe,8
813,concealed,8
814,else,8
815,race,8
816,bitter,8
817,quiet,8
818,tuscan,8
819,underneath,8
820,bound,8
821,hill,8
822,raised,8
823,athwart,8
824,wheel,8
825,single,8
826,arm,8
827,cross,8
828,accused,8
829,late,8
830,weep,8
831,poor,8
832,follows,8
833,popular,8
834,asked,8
835,latian,8
836,florentines,8
837,created,8
838,crying,8
839,donati,8
840,wall,8
841,gods,8
842,persons,8
843,ight,8
844,young,8
845,strong,8
846,preceding,8
847,thither,8
848,thoughts,8
849,draw,8
850,thrown,8
851,bed,8
852,fourth,8
853,jacopo,8
854,demon,8
855,wounds,8
856,paul,8
857,john,8
858,del,8
859,works,8
860,xed,8
861,geryon,8
862,perceived,8
863,judgment,8
864,disdainful,8
865,deceive,8
866,always,8
867,live,8
868,wilt,8
869,gianni,8
870,giant,8
871,anguish,8
872,shadows,8
873,la,8
874,cut,8
875,terror,8
876,appear,8
877,laments,8
878,wherein,8
879,subject,8
880,approaching,8
881,lies,8
882,verses,8
883,limbs,8
884,beside,8
885,nephew,8
886,philosophy,8
887,lion,8
888,belly,8
889,reading,7
890,college,7
891,evermore,7
892,distance,7
893,wherewith,7
894,appears,7
895,gazed,7
896,lament,7
897,falling,7
898,guelfs,7
899,beholdest,7
900,simon,7
901,steps,7
902,reader,7
903,harm,7
904,poem,7
905,cocytus,7
906,bent,7
907,l,7
908,further,7
909,whoever,7
910,forms,7
911,thereat,7
912,montefeltro,7
913,ashes,7
914,evening,7
915,study,7
916,rich,7
917,sinners,7
918,lowest,7
919,followed,7
920,fain,7
921,arrogance,7
922,brothers,7
923,footsteps,7
924,aside,7
925,vessel,7
926,aristotle,7
927,achilles,7
928,otherwise,7
929,divided,7
930,stern,7
931,burning,7
932,arch,7
933,ourselves,7
934,need,7
935,sicily,7
936,dry,7
937,women,7
938,states,7
939,get,7
940,mid,7
941,heed,7
942,hither,7
943,malebolge,7
944,cleft,7
945,messer,7
946,peradventure,7
947,passing,7
948,heavens,7
949,disconsolate,7
950,ages,7
951,lived,7
952,x,7
953,depart,7
954,snow,7
955,herd,7
956,bewildered,7
957,aeneid,7
958,mantle,7
959,directed,7
960,demons,7
961,tells,7
962,hatred,7
963,angels,7
964,christian,7
965,wide,7
966,painted,7
967,centre,7
968,kings,7
969,kingdom,7
970,wild,7
971,willed,7
972,fact,7
973,perchance,7
974,different,7
975,pleasure,7
976,understood,7
977,sighs,7
978,indeed,7
979,teacher,7
980,dike,7
981,paris,7
982,miles,7
983,alive,7
984,history,7
985,devil,7
986,skin,7
987,sorrow,7
988,remains,7
989,border,7
990,banishment,7
991,doubt,7
992,authority,7
993,ice,7
994,london,7
995,gure,7
996,violence,7
997,trunk,7
998,beat,7
999,use,7
1000,ocean,7
1001,few,7
1002,farinata,7
1003,utterly,7
1004,believed,7
1005,bosom,7
1006,invited,7
1007,intent,7
1008,gate,7
1009,remember,7
1010,ser,7
1011,abroad,7
1012,course,7
1013,falls,7
1014,val,7
1015,bowed,7
1016,notes,7
1017,turning,7
1018,sleep,7
1019,returns,7
1020,semblance,7
1021,hadst,7
1022,shouldst,7
1023,asunder,7
1024,however,7
1025,motion,7
1026,guelph,7
1027,sitting,7
1028,strength,7
1029,chiron,7
1030,horse,7
1031,often,7
1032,greatest,7
1033,serpents,7
1034,bologna,7
1035,drives,6
1036,slope,6
1037,agony,6
1038,vanni,6
1039,honor,6
1040,bolognese,6
1041,paradiso,6
1042,wisdom,6
1043,village,6
1044,hercules,6
1045,rises,6
1046,roman,6
1047,symbol,6
1048,francesca,6
1049,band,6
1050,principal,6
1051,joined,6
1052,june,6
1053,sardinia,6
1054,jove,6
1055,ames,6
1056,nov,6
1057,american,6
1058,prison,6
1059,date,6
1060,keeping,6
1061,pitiless,6
1062,write,6
1063,infamy,6
1064,winds,6
1065,begins,6
1066,lines,6
1067,inhabitants,6
1068,regions,6
1069,erect,6
1070,frozen,6
1071,discourse,6
1072,ulysses,6
1073,virgilius,6
1074,clear,6
1075,met,6
1076,something,6
1077,lo,6
1078,springs,6
1079,best,6
1080,michael,6
1081,drawn,6
1082,afterward,6
1083,beard,6
1084,bears,6
1085,malebranche,6
1086,maledict,6
1087,spoken,6
1088,ugolino,6
1089,involved,6
1090,margin,6
1091,maketh,6
1092,required,6
1093,withdrew,6
1094,home,6
1095,purple,6
1096,bishop,6
1097,vita,6
1098,frati,6
1099,puts,6
1100,sienese,6
1101,touches,6
1102,alexander,6
1103,hole,6
1104,fraudulent,6
1105,beauteous,6
1106,dikes,6
1107,smoke,6
1108,ought,6
1109,division,6
1110,armed,6
1111,title,6
1112,courteous,6
1113,giving,6
1114,court,6
1115,buried,6
1116,fallen,6
1117,gustave,6
1118,abati,6
1119,bull,6
1120,aught,6
1121,proud,6
1122,thick,6
1123,gaudenti,6
1124,ruin,6
1125,breath,6
1126,goest,6
1127,rebellious,6
1128,condemned,6
1129,descending,6
1130,charon,6
1131,dog,6
1132,brows,6
1133,english,6
1134,nails,6
1135,seventh,6
1136,supreme,6
1137,tuscany,6
1138,doctrine,6
1139,don,6
1140,desert,6
1141,keys,6
1142,guelf,6
1143,swift,6
1144,sinner,6
1145,neither,6
1146,tormented,6
1147,severe,6
1148,common,6
1149,blessed,6
1150,descent,6
1151,ood,6
1152,towers,6
1153,mayst,6
1154,escort,6
1155,accursed,6
1156,change,6
1157,wait,6
1158,aware,6
1159,miserable,6
1160,po,6
1161,step,6
1162,thereby,6
1163,verse,6
1164,abandoned,6
1165,voyage,6
1166,ship,6
1167,error,6
1168,boston,6
1169,palestrina,6
1170,supposed,6
1171,lamentation,6
1172,dogs,6
1173,names,6
1174,goeth,6
1175,rt,6
1176,limbo,6
1177,gain,6
1178,island,6
1179,returning,6
1180,pray,6
1181,slain,6
1182,sister,6
1183,rose,6
1184,except,6
1185,mad,6
1186,apart,6
1187,cerberus,6
1188,top,6
1189,published,6
1190,chest,5
1191,t,5
1192,interpretation,5
1193,margins,5
1194,circular,5
1195,children,5
1196,married,5
1197,mark,5
1198,standing,5
