N,h,max_error,order,cpu_ms
20,0.047619,0.00730886,nan,0.2561
40,0.0243902,0.00191689,1.93088,0.3281
80,0.0123457,0.000491209,1.96436,0.7052
160,0.00621118,0.000124389,1.98148,1.5011
320,0.00311526,3.12905e-05,1.99106,2.6654
640,0.00156006,7.84702e-06,1.99551,4.9936
1280,0.00078064,1.96482e-06,1.99775,10.9876
2560,0.000390472,4.91588e-07,1.99888,19.8332
