rank,word,frequency
1,the,8252
2,and,4800
3,to,4279
4,he,3567
5,harry,3513
6,of,3410
7,a,3306
8,i,2664
9,you,2564
10,said,2441
11,was,2379
12,his,2235
13,s,2183
14,it,2166
15,that,2121
16,in,1906
17,had,1651
18,at,1304
19,as,1233
20,t,1162
21,not,1152
22,but,1111
23,with,1067
24,dumbledore,1034
25,him,1025
26,for,987
27,on,941
28,ron,877
29,her,846
30,half,839
31,she,834
32,potter,828
33,blood,814
34,prince,804
35,have,802
36,be,780
37,they,766
38,page,751
39,what,744
40,j,729
41,k,729
42,rowling,729
43,hermione,694
44,all,645
45,out,632
46,there,612
47,this,596
48,we,584
49,were,581
50,who,570
51,up,568
52,so,554
53,from,554
54,been,548
55,is,543
56,them,520
57,into,518
58,me,516
59,no,484
60,could,482
61,would,456
62,did,451
63,an,444
64,now,435
65,do,424
66,back,423
67,one,409
68,well,401
69,slughorn,400
70,then,394
71,when,391
72,by,389
73,your,385
74,just,381
75,know,381
76,snape,378
77,over,376
78,about,373
79,if,373
80,malfoy,372
81,like,353
82,can,347
83,or,345
84,don,344
85,think,338
86,are,335
87,looked,333
88,very,328
89,more,323
90,time,318
91,see,317
92,ve,314
93,their,306
94,down,304
95,though,302
96,around,298
97,my,295
98,again,282
99,how,282
100,looking,282
101,professor,281
102,got,276
103,still,269
104,re,257
105,d,253
106,off,250
107,room,249
108,thought,248
109,before,245
110,ll,245
111,voldemort,244
112,will,243
113,than,243
114,which,242
115,once,238
116,right,237
117,look,235
118,little,234
119,ginny,233
120,hagrid,232
121,yes,230
122,face,228
123,asked,224
124,m,221
125,get,212
126,hand,212
127,weasley,211
128,good,210
129,here,209
130,after,209
131,eyes,206
132,seemed,205
133,only,204
134,other,201
135,dark,200
136,through,198
137,something,195
138,voice,195
139,much,195
140,going,194
141,come,191
142,too,191
143,where,190
144,wand,190
145,oh,188
146,behind,188
147,himself,185
148,go,185
149,has,182
150,door,178
151,saw,177
152,last,174
153,never,171
154,want,169
155,might,166
156,people,165
157,tell,165
158,moment,165
159,why,164
160,two,163
161,turned,162
162,didn,161
163,head,161
164,way,161
165,say,161
166,told,160
167,mrs,157
168,really,157
169,away,155
170,even,155
171,left,152
172,long,150
173,knew,149
174,course,146
175,death,144
176,first,143
177,must,143
178,any,142
179,toward,141
180,made,141
181,upon,140
182,am,139
183,hogwarts,137
184,great,135
185,us,134
186,sir,132
187,minister,132
188,anything,132
189,old,131
190,nothing,131
191,make,130
192,let,130
193,sure,130
194,most,129
195,find,128
196,because,127
197,heard,123
198,few,122
199,ministry,121
200,felt,120
201,ever,120
202,potion,120
203,some,119
204,school,114
205,already,113
206,won,113
207,man,112
208,riddle,112
209,yeah,112
210,both,112
211,against,111
212,open,110
213,without,110
214,front,109
215,take,106
216,black,105
217,house,105
218,feet,105
219,year,104
220,while,104
221,lord,104
222,being,104
223,quite,103
224,better,102
225,mr,101
226,mean,100
227,these,100
228,prime,99
229,happened,98
230,however,98
231,trying,98
232,another,98
233,three,97
234,rather,97
235,took,97
236,help,95
237,done,95
238,place,95
239,table,93
240,doing,93
241,wanted,93
242,own,92
243,office,92
244,cloak,92
245,years,92
246,each,91
247,hear,90
248,found,90
249,should,90
250,came,89
251,gave,89
252,under,88
253,magic,88
254,else,88
255,need,88
256,seen,87
257,many,86
258,boy,86
259,its,86
260,next,86
261,set,85
262,standing,85
263,hands,84
264,mcgonagall,84
265,scrimgeour,83
266,memory,82
267,able,82
268,fudge,82
269,night,81
270,light,81
271,stood,81
272,enough,81
273,our,80
274,fred,80
275,hair,80
276,making,79
277,large,78
278,between,78
279,sitting,78
280,side,78
281,book,78
282,put,78
283,bit,77
284,floor,77
285,almost,77
286,together,76
287,mind,76
288,day,75
289,isn,75
290,wizard,74
291,neville,74
292,keep,74
293,water,74
294,things,73
295,inside,73
296,beside,72
297,draco,72
298,whether,72
299,full,72
300,tom,72
301,until,71
302,thing,71
303,give,71
304,yet,71
305,wouldn,71
306,past,70
307,madam,70
308,every,70
309,went,69
310,air,69
311,mclaggen,68
312,ogden,68
313,later,68
314,potions,68
315,same,67
316,quickly,66
317,perhaps,66
318,gryffindor,66
319,best,66
320,across,65
321,hard,65
322,alone,65
323,eaters,65
324,having,65
325,word,65
326,those,65
327,onto,64
328,george,64
329,new,64
330,anyone,64
331,haven,64
332,dead,63
333,ask,63
334,lupin,63
335,believe,63
336,bed,63
337,morfin,63
338,raised,63
339,taking,62
340,suddenly,62
341,everything,62
342,always,61
343,along,61
344,shall,61
345,mouth,61
346,work,61
347,began,61
348,slightly,61
349,staring,61
350,quietly,61
351,tonks,60
352,within,60
353,gone,60
354,second,60
355,common,60
356,luna,60
357,silence,60
358,kreacher,60
359,fell,59
360,castle,59
361,arm,59
362,does,59
363,hall,59
364,dear,59
365,forward,59
366,idea,59
367,sorry,59
368,wasn,59
369,muggle,58
370,words,58
371,pulled,58
372,top,58
373,small,57
374,sirius,57
375,father,57
376,taken,57
377,mother,56
378,saying,56
379,nobody,56
380,window,56
381,talking,56
382,couldn,56
383,walked,56
384,stared,56
385,called,55
386,lavender,55
387,used,55
388,stop,55
389,wall,55
390,whole,55
391,katie,55
392,far,54
393,known,54
394,rest,54
395,expression,53
396,quidditch,53
397,glass,53
398,body,53
399,name,53
400,leave,53
401,prophecy,53
402,dean,53
403,robes,53
404,such,52
405,coming,52
406,bottle,52
407,appeared,52
408,feeling,52
409,love,52
410,speak,52
411,passed,52
412,corridor,52
413,bill,52
414,moved,52
415,remember,52
416,wearing,52
417,corner,51
418,several,51
419,everyone,51
420,yeh,51
421,use,51
422,since,51
423,girl,51
424,point,51
425,team,51
426,nor,50
427,gaunt,50
428,supposed,50
429,borgin,50
430,narcissa,50
431,sight,50
432,whispered,50
433,given,50
434,reached,50
435,empty,50
436,returned,49
437,nose,49
438,merely,49
439,fleur,49
440,outside,49
441,tried,49
442,hope,49
443,opened,49
444,end,49
445,o,48
446,bellatrix,48
447,anyway,48
448,evening,48
449,fact,47
450,drink,47
451,loudly,47
452,slowly,47
453,added,47
454,lot,46
455,died,46
456,close,46
457,closed,46
458,hastily,46
459,holding,46
460,please,46
461,sat,46
462,arms,46
463,talk,46
464,answer,45
465,wrong,45
466,stopped,45
467,continued,45
468,someone,45
469,usual,45
470,shoulder,45
471,feel,45
472,understand,45
473,heart,44
474,slytherin,44
475,desk,44
476,eater,44
477,case,44
478,noticed,44
479,life,44
480,horcrux,44
481,try,43
482,followed,43
483,shop,43
484,kill,43
485,ground,43
486,doesn,43
487,getting,43
488,friends,43
489,ten,43
490,finally,43
491,match,42
492,question,42
493,finished,42
494,indeed,42
495,eye,42
496,four,42
497,zabini,42
498,turning,41
499,clear,41
500,er,41
501,mark,41
502,soul,41
503,fire,41
504,apparently,41
505,call,41
506,magical,41
507,leaving,40
508,seem,40
509,portrait,40
510,hit,40
511,matter,40
512,family,40
513,morning,40
514,short,40
515,stone,40
516,spell,40
517,hurried,40
518,shaking,40
519,trelawney,39
520,chosen,39
521,arts,39
522,white,39
523,five,39
524,minutes,39
525,longer,39
526,red,39
527,waiting,39
528,horcruxes,39
529,darkness,39
530,high,39
531,loud,39
532,curse,39
533,filch,39
534,started,39
535,care,39
536,ran,38
537,thinking,38
538,party,38
539,either,38
540,maybe,38
541,dobby,38
542,students,38
543,job,38
544,realized,38
545,although,38
546,uncle,38
547,thanks,38
548,green,37
549,invisibility,37
550,vanished,37
551,kind,37
552,instead,37
553,whom,37
554,hours,37
555,sound,37
556,chair,37
557,days,37
558,looks,36
559,times,36
560,true,36
561,muttered,36
562,tiny,36
563,copy,36
564,shouted,36
565,neither,36
566,cauldron,36
567,part,36
568,pointed,36
569,seat,36
570,turn,36
571,ago,36
572,caught,36
573,gold,35
574,windows,35
575,managed,35
576,tonight,35
577,ought,35
578,important,35
579,wish,35
580,sister,35
581,meant,35
582,clock,35
583,girls,35
584,suppose,35
585,parchment,35
586,fingers,35
587,also,34
588,angrily,34
589,son,34
590,silver,34
591,late,34
592,dangerous,34
593,spot,34
594,glasses,34
595,hour,34
596,number,34
597,killed,34
598,herself,34
599,stepped,34
600,severus,34
601,listen,34
602,clearly,34
603,pointing,34
604,stupid,34
605,cold,33
606,wondered,33
607,dad,33
608,seconds,33
609,pushed,33
610,lost,33
611,young,33
612,barely,33
613,tears,33
614,telling,33
615,deep,33
616,says,33
617,lesson,33
618,subject,33
619,necklace,33
620,lessons,33
621,felix,33
622,held,32
623,less,32
624,crabbe,32
625,move,32
626,ter,32
627,person,32
628,advanced,32
629,low,32
630,pulling,32
631,merope,32
632,shut,32
633,smiling,32
634,sign,32
635,smile,32
636,boys,32
637,below,32
638,entered,32
639,pleased,32
640,speaking,32
641,lay,32
642,watched,32
643,pocket,32
644,christmas,32
645,somebody,32
646,kept,32
647,happy,32
648,crowd,32
649,ah,32
650,return,32
651,bathroom,32
652,giving,32
653,odd,31
654,moving,31
655,free,31
656,remained,31
657,immediately,31
658,wait,31
659,arrived,31
660,watching,31
661,ring,31
662,bad,31
663,burst,31
664,goyle,31
665,w,31
666,actually,31
667,nearly,31
668,fast,31
669,certainly,31
670,attempt,31
671,stay,31
672,thank,31
673,requirement,31
674,breakfast,31
675,pomfrey,31
676,whose,30
677,defense,30
678,happen,30
679,repeated,30
680,hadn,30
681,chest,30
682,ready,30
683,wants,30
684,dropped,30
685,friend,30
686,spells,30
687,met,30
688,simply,30
689,soon,30
690,running,30
691,staff,30
692,least,30
693,elf,29
694,joined,29
695,laugh,29
696,broken,29
697,chance,29
698,thin,29
699,sit,29
700,fight,29
701,fat,29
702,box,29
703,surprised,29
704,hoping,29
705,couple,29
706,watch,29
707,may,29
708,master,29
709,glanced,29
710,spoke,29
711,apparition,29
712,expect,28
713,nice,28
714,expected,28
715,trunk,28
716,security,28
717,during,28
718,angry,28
719,rock,28
720,bag,28
721,world,28
722,tower,28
723,difficult,28
724,street,28
725,leapt,28
726,pass,28
727,showed,28
728,yourself,28
729,order,28
730,foot,28
731,sounded,28
732,cannot,28
733,become,28
734,flew,28
735,glad,28
736,hospital,28
737,staircase,27
738,stand,27
739,horrible,27
740,vernon,27
741,start,27
742,conversation,27
743,steps,27
744,felicis,27
745,aren,27
746,thick,27
747,none,27
748,hole,27
749,happily,27
750,yelled,27
751,hogsmeade,27
752,hat,27
753,teacher,27
754,wizards,27
755,drew,27
756,real,27
757,e,27
758,became,27
759,shook,27
760,forced,27
761,others,27
762,anybody,27
763,wizarding,27
764,lucky,27
765,train,27
766,deserted,27
767,smiled,27
768,lying,27
769,prophet,27
770,ceiling,27
771,hidden,27
772,information,27
773,term,26
774,terrible,26
775,hepzibah,26
776,locket,26
777,completely,26
778,exactly,26
779,round,26
780,brought,26
781,enormous,26
782,worry,26
783,lake,26
784,demanded,26
785,keeping,26
786,ahead,26
787,hurt,26
788,pensieve,26
789,goblet,26
790,walking,26
791,reason,26
792,whatever,26
793,pale,26
794,objects,26
795,map,25
796,breath,25
797,detention,25
798,home,25
799,surprise,25
800,class,25
801,forgotten,25
802,knows,25
803,doors,25
804,doubt,25
805,mum,25
806,firmly,25
807,fine,25
808,trust,25
809,possible,25
810,powerful,25
811,aragog,25
812,bring,25
813,beyond,25
814,laughter,25
815,threw,25
816,grounds,25
817,listening,24
818,pitch,24
819,probably,24
820,compartment,24
821,shock,24
822,entrance,24
823,broke,24
824,azkaban,24
825,okay,24
826,brown,24
827,golden,24
828,walls,24
829,horace,24
830,clutching,24
831,landed,24
832,liked,24
833,except,24
834,funny,24
835,basin,24
836,business,24
837,perfectly,24
838,surface,24
839,surely,24
840,dunno,23
841,arthur,23
842,heads,23
843,kitchen,23
844,seamus,23
845,edge,23
846,laughed,23
847,attention,23
848,highly,23
849,charms,23
850,visit,23
851,missed,23
852,afraid,23
853,bottles,23
854,woman,23
855,books,23
856,read,23
857,slid,23
858,nodded,23
859,cup,23
860,pink,23
861,shouldn,23
862,themselves,23
863,wide,23
864,above,23
865,fault,23
866,safe,23
867,fallen,23
868,everybody,23
869,near,23
870,twice,23
871,luck,23
872,using,22
873,big,22
874,lady,22
875,sort,22
876,news,22
877,view,22
878,sometimes,22
879,bent,22
880,waving,22
881,working,22
882,problem,22
883,definitely,22
884,snapped,22
885,passing,22
886,summer,22
887,nasty,22
888,heavy,22
889,amount,22
890,show,22
891,forget,22
892,hold,22
893,quiet,22
894,brother,22
895,certain,22
896,legs,22
897,lucius,22
898,headmaster,22
899,pretty,22
900,particularly,22
901,fixed,22
902,mundungus,22
903,meet,22
904,attempted,22
905,ears,22
906,somehow,21
907,bell,21
908,boat,21
909,carrying,21
910,percy,21
911,handsome,21
912,jinx,21
913,decided,21
914,excellent,21
915,orders,21
916,poor,21
917,miss,21
918,cole,21
919,week,21
920,faced,21
921,saturday,21
922,beneath,21
923,neck,21
924,wing,21
925,recognized,21
926,seems,21
927,pressed,21
928,rosmerta,21
929,seventh,21
930,bright,21
931,seized,21
932,marvolo,21
933,seven,21
934,filthy,21
935,swung,21
936,change,21
937,sent,21
938,quick,20
939,sky,20
940,previous,20
941,stairs,20
942,position,20
943,knocked,20
944,greyback,20
945,remembered,20
946,putting,20
947,bottom,20
948,strange,20
949,hundred,20
950,sounds,20
