rank,word,frequency
1,the,11330
2,and,6412
3,to,4958
4,he,4225
5,of,4206
6,harry,3997
7,a,3648
8,it,3035
9,s,2783
10,was,2782
11,his,2632
12,you,2578
13,i,2389
14,in,2262
15,that,2159
16,had,2002
17,said,1978
18,as,1443
19,at,1423
20,they,1317
21,him,1309
22,hermione,1224
23,but,1205
24,not,1202
25,ron,1176
26,with,1156
27,t,1130
28,on,1122
29,potter,1077
30,her,1073
31,she,1048
32,for,1032
33,hallows,923
34,we,905
35,deathly,888
36,page,871
37,what,865
38,j,856
39,k,855
40,rowling,855
41,from,849
42,them,815
43,have,812
44,there,787
45,be,769
46,were,765
47,out,756
48,all,712
49,up,684
50,into,661
51,could,646
52,who,621
53,wand,596
54,been,593
55,dumbledore,589
56,is,586
57,so,572
58,back,547
59,no,541
60,know,541
61,then,532
62,did,522
63,this,516
64,if,500
65,me,488
66,their,472
67,now,472
68,like,458
69,do,455
70,would,452
71,one,449
72,voldemort,446
73,by,437
74,looked,432
75,my,423
76,over,406
77,an,400
78,are,392
79,can,374
80,down,371
81,about,371
82,your,365
83,around,363
84,how,363
85,when,362
86,more,360
87,where,359
88,ve,358
89,re,353
90,still,352
91,again,350
92,or,346
93,think,342
94,eyes,330
95,don,328
96,through,321
97,which,317
98,here,314
99,death,310
100,just,299
101,snape,294
102,got,289
103,time,280
104,see,278
105,get,277
106,asked,276
107,knew,274
108,off,272
109,saw,272
110,d,270
111,face,269
112,well,269
113,before,267
114,voice,266
115,seemed,264
116,room,260
117,thought,259
118,after,258
119,than,258
120,little,258
121,right,254
122,us,254
123,looking,251
124,only,250
125,m,249
126,will,249
127,other,246
128,away,241
129,never,240
130,ll,238
131,door,234
132,though,231
133,hand,230
134,come,222
135,go,219
136,himself,219
137,why,218
138,look,218
139,going,216
140,way,214
141,felt,211
142,two,209
143,head,208
144,its,206
145,told,201
146,even,197
147,once,196
148,too,195
149,dark,195
150,left,195
151,made,193
152,long,192
153,turned,190
154,upon,189
155,something,184
156,last,184
157,moment,183
158,toward,181
159,weasley,181
160,behind,181
161,place,178
162,must,175
163,cloak,174
164,let,173
165,hagrid,171
166,sure,171
167,lupin,167
168,much,167
169,first,167
170,heard,165
171,because,165
172,old,164
173,own,163
174,any,163
175,great,161
176,didn,159
177,take,158
178,want,156
179,some,153
180,inside,152
181,came,152
182,tell,152
183,might,151
184,nothing,151
185,sword,151
186,stood,148
187,took,148
188,while,147
189,good,146
190,oh,145
191,really,143
192,eaters,142
193,open,141
194,say,141
195,luna,140
196,light,140
197,find,138
198,house,138
199,another,138
200,very,134
201,kreacher,134
202,make,134
203,need,133
204,hogwarts,132
205,under,132
206,people,131
207,front,131
208,mr,129
209,mrs,129
210,yes,128
211,ever,128
212,lord,128
213,griphook,127
214,feet,127
215,bill,125
216,has,125
217,hair,125
218,floor,125
219,three,124
220,ginny,122
221,man,122
222,air,121
223,trying,121
224,wanted,121
225,thing,119
226,against,119
227,yeah,117
228,our,115
229,those,115
230,few,114
231,side,113
232,both,113
233,goblin,112
234,albus,112
235,magic,112
236,wizard,111
237,pulled,111
238,eye,110
239,beside,110
240,every,109
241,small,109
242,boy,109
243,happened,109
244,help,108
245,seen,108
246,hands,106
247,most,105
248,without,104
249,whispered,104
250,onto,104
251,between,103
252,black,103
253,keep,103
254,raised,102
255,dead,101
256,mother,101
257,fleur,101
258,done,101
259,across,99
260,together,99
261,half,99
262,bellatrix,98
263,sorry,98
264,ministry,98
265,close,97
266,yet,97
267,each,97
268,fell,97
269,same,96
270,beneath,96
271,hear,94
272,scar,94
273,sat,94
274,put,93
275,fred,93
276,horcrux,93
277,give,93
278,mind,93
279,professor,93
280,anything,92
281,many,92
282,years,92
283,xenophilius,91
284,being,91
285,hall,91
286,along,91
287,gave,90
288,night,90
289,darkness,90
290,else,90
291,neville,89
292,gone,89
293,mean,88
294,course,88
295,second,87
296,shouted,87
297,found,87
298,muggle,87
299,whether,87
300,already,86
301,end,85
302,tent,85
303,stone,84
304,locket,84
305,white,84
306,silence,84
307,life,84
308,everything,83
309,quite,83
310,began,83
311,feel,82
312,lily,82
313,master,82
314,tried,82
315,isn,81
316,however,80
317,moved,80
318,family,80
319,malfoy,80
320,snake,79
321,set,79
322,until,79
323,tonks,79
324,won,78
325,body,78
326,caught,78
327,these,78
328,george,77
329,top,77
330,table,77
331,forward,77
332,wizards,77
333,went,77
334,opened,76
335,aberforth,74
336,high,74
337,taken,74
338,sight,74
339,arms,74
340,new,74
341,ground,74
342,walked,74
343,able,73
344,silver,73
345,arm,72
346,pain,72
347,elf,72
348,ollivander,72
349,holding,72
350,window,72
351,leave,71
352,should,71
353,bathilda,71
354,full,71
355,sirius,70
356,lost,70
357,next,70
358,kill,70
359,better,70
360,doing,70
361,mcgonagall,70
362,passed,70
363,anyone,69
364,name,69
365,sitting,69
366,castle,69
367,cold,69
368,slightly,69
369,enough,69
370,greyback,69
371,closed,68
372,elder,68
373,bit,68
374,always,68
375,rather,68
376,am,68
377,perhaps,68
378,brother,68
379,heart,68
380,understand,68
381,called,67
382,wall,67
383,wands,67
384,golden,67
385,order,67
386,reached,67
387,invisibility,66
388,robes,66
389,try,66
390,believe,66
391,gryffindor,66
392,died,66
393,supposed,66
394,pointed,66
395,alone,66
396,far,65
397,mad,65
398,thinking,65
399,standing,65
400,magical,65
401,scrimgeour,65
402,read,65
403,several,65
404,school,65
405,wearing,65
406,father,64
407,severus,64
408,held,64
409,words,64
410,things,64
411,ran,64
412,lay,64
413,use,63
414,eater,63
415,blood,63
416,stop,63
417,glanced,63
418,appeared,63
419,nearly,62
420,parents,62
421,idea,62
422,flew,62
423,red,62
424,draco,62
425,real,61
426,kitchen,61
427,fingers,61
428,does,61
429,word,61
430,grindelwald,61
431,godric,61
432,sound,60
433,known,60
434,later,60
435,tiny,60
436,sister,60
437,hollow,59
438,watching,59
439,large,59
440,please,59
441,bag,59
442,pointing,59
443,work,59
444,spoke,59
445,day,59
446,such,59
447,coming,58
448,hard,58
449,james,58
450,whole,57
451,others,57
452,nobody,57
453,bed,57
454,true,57
455,curse,57
456,shall,56
457,vanished,56
458,whose,56
459,dropped,56
460,charm,56
461,someone,56
462,broken,55
463,forced,55
464,exactly,55
465,move,55
466,yaxley,55
467,empty,55
468,plan,54
469,green,54
470,point,54
471,fear,54
472,hidden,53
473,chest,53
474,doesn,53
475,since,53
476,book,53
477,past,53
478,started,53
479,fire,53
480,mouth,53
481,entrance,53
482,gold,52
483,cried,52
484,lying,52
485,kept,52
486,ariana,52
487,muriel,52
488,deep,52
489,everyone,51
490,low,51
491,doge,51
492,home,51
493,mundungus,51
494,horcruxes,51
495,hit,51
496,wasn,51
497,best,51
498,themselves,51
499,kingsley,51
500,yelled,50
501,killed,50
502,dragon,50
503,shook,50
504,breath,50
505,talking,50
506,vernon,50
507,slowly,50
508,stairs,50
509,remember,50
510,used,49
511,wait,49
512,broke,49
513,speak,49
514,rest,49
515,wrong,49
516,longer,49
517,answer,49
518,wizarding,49
519,dudley,49
520,goblins,48
521,repeated,48
522,hold,48
523,continued,48
524,burst,48
525,uncle,48
526,son,48
527,outside,48
528,gregorovitch,48
529,lucius,48
530,power,48
531,ask,48
532,given,48
533,regulus,48
534,barely,47
535,screamed,47
536,clear,47
537,dementors,47
538,petunia,47
539,free,47
540,realized,47
541,wouldn,47
542,leaving,47
543,neck,47
544,chair,47
545,less,47
546,cattermole,47
547,dobby,46
548,maybe,46
549,either,46
550,diadem,46
551,forest,46
552,nodded,46
553,drew,46
554,saying,46
555,couldn,46
556,umbridge,46
557,part,46
558,steps,46
559,led,46
560,ought,45
561,corner,45
562,world,45
563,office,45
564,fight,45
565,tears,45
566,haven,44
567,finally,44
568,ceiling,44
569,also,44
570,young,44
571,shut,44
572,friends,44
573,threw,44
574,hope,43
575,woman,43
576,stopped,43
577,thank,43
578,chance,43
579,sent,43
580,lot,43
581,blue,43
582,pocket,43
583,running,43
584,safe,43
585,moving,43
586,beyond,43
587,witch,42
588,die,42
589,cast,42
590,making,42
591,ago,42
592,days,42
593,watch,42
594,above,42
595,nose,42
596,spell,42
597,skeeter,42
598,shoulder,41
599,dean,41
600,truth,41
601,followed,41
602,simply,41
603,added,41
604,question,41
605,figure,41
606,run,41
607,walls,41
608,snitch,41
609,students,41
610,matter,40
611,scream,40
612,girl,40
613,living,40
614,became,40
615,remembered,40
616,watched,40
617,somewhere,40
618,four,40
619,remained,40
620,lovegood,40
621,okay,40
622,number,40
623,sense,40
624,short,40
625,backward,40
626,travers,39
627,vault,39
628,fact,39
629,fast,39
630,wedding,39
631,apart,39
632,probably,39
633,faces,39
634,spot,39
635,break,39
636,corridor,38
637,waiting,38
638,sign,38
639,hurried,38
640,flying,38
641,whom,38
642,returned,38
643,mum,38
644,bright,38
645,talk,38
646,water,38
647,case,37
648,getting,37
649,thin,37
650,hardly,37
651,feeling,37
652,hiding,37
653,straight,37
654,protection,37
655,silent,37
656,below,37
657,stuff,37
658,objects,37
659,dad,37
660,phineas,37
661,except,37
662,shaking,37
663,turning,36
664,garden,36
665,itself,36
666,possible,36
667,happen,36
668,reckon,36
669,change,36
670,least,36
671,forehead,36
672,smile,36
673,krum,36
674,aren,36
675,ted,36
676,herself,36
677,soon,36
678,within,36
679,aside,36
680,shock,36
681,foot,36
682,actually,35
683,muttered,35
684,unable,35
685,snow,35
686,expected,35
