rank,word,frequency
1,the,5604
2,and,3183
3,to,2623
4,of,2567
5,harry,2535
6,a,2151
7,he,2098
8,was,1682
9,s,1594
10,his,1489
11,said,1477
12,it,1437
13,you,1424
14,i,1335
15,in,1225
16,had,920
17,t,895
18,that,882
19,at,818
20,ron,791
21,on,749
22,him,728
23,they,697
24,hermione,672
25,as,668
26,with,664
27,potter,588
28,but,575
29,for,551
30,azkaban,532
31,out,503
32,page,497
33,up,493
34,prisoner,490
35,k,489
36,j,489
37,rowling,486
38,what,461
39,there,423
40,professor,416
41,be,414
42,we,409
43,lupin,408
44,her,407
45,them,402
46,were,399
47,all,396
48,black,390
49,from,379
50,she,367
51,have,359
52,into,359
53,back,353
54,this,337
55,me,329
56,then,309
57,who,307
58,one,305
59,if,291
60,been,291
61,d,288
62,down,284
63,very,281
64,not,278
65,an,277
66,no,272
67,so,270
68,hagrid,268
69,their,261
70,is,254
71,ve,254
72,about,252
73,snape,247
74,around,246
75,like,242
76,looked,242
77,could,231
78,see,227
79,off,226
80,now,226
81,over,223
82,know,221
83,got,217
84,again,217
85,your,206
86,didn,204
87,my,204
88,get,199
89,do,199
90,can,195
91,by,194
92,just,192
93,when,189
94,ll,188
95,malfoy,188
96,still,188
97,looking,185
98,don,184
99,would,182
100,re,182
101,go,181
102,eyes,178
103,did,174
104,time,174
105,how,174
106,face,171
107,though,167
108,are,166
109,well,164
110,right,163
111,dumbledore,163
112,going,163
113,more,157
114,think,153
115,too,148
116,before,142
117,door,141
118,m,140
119,saw,140
120,come,140
121,sirius,139
122,head,138
123,only,138
124,voice,137
125,away,135
126,after,135
127,look,135
128,toward,133
129,will,131
130,himself,130
131,something,128
132,here,127
133,where,127
134,than,124
135,through,123
136,behind,121
137,gryffindor,121
138,last,121
139,heard,121
140,hand,119
141,ever,116
142,weasley,116
143,or,115
144,good,115
145,turned,115
146,wand,114
147,mcgonagall,113
148,scabbers,113
149,room,112
150,which,112
151,way,111
152,fudge,110
153,never,108
154,neville,106
155,next,105
156,told,104
157,went,104
158,crookshanks,104
159,pettigrew,103
160,thought,102
161,its,102
162,long,102
163,us,101
164,because,100
165,made,99
166,first,98
167,let,97
