rank,word,frequency
473,lot,67
474,fact,66
475,during,66
476,low,66
477,arm,66
478,usual,65
479,matter,65
480,started,65
481,department,65
482,common,65
483,bag,65
484,bad,65
485,fast,64
486,blood,64
487,ears,64
488,father,64
489,percy,64
490,hedwig,64
491,straight,63
492,couldn,63
493,meeting,63
494,dead,63
495,watch,63
496,please,63
497,care,63
498,prophecy,63
499,owl,63
500,lying,63
501,caught,63
502,moving,63
503,breath,62
504,hit,62
505,word,62
506,arms,62
507,also,62
508,ought,62
509,life,62
510,listen,62
511,dobby,62
512,number,62
513,green,61
514,seamus,61
515,nearly,61
516,pulling,61
517,turn,61
518,white,61
519,answer,61
520,sight,61
521,sent,60
522,evening,60
523,given,60
524,may,60
525,ago,60
526,within,59
527,alone,59
528,mundungus,59
529,mum,59
530,waiting,59
531,whose,59
532,minister,59
533,homework,59
534,entered,59
535,seconds,59
536,above,58
537,soon,58
538,shall,58
539,stupid,58
540,pain,58
541,madam,58
542,start,58
543,lay,57
544,body,57
545,perhaps,57
546,prophet,57
547,person,57
548,sir,57
549,best,57
550,hearing,57
551,thinking,57
552,wait,57
553,either,56
554,maybe,56
555,lessons,56
556,cloak,56
557,woman,56
558,clearly,56
559,legs,56
560,round,56
561,instead,56
562,themselves,56
563,days,56
564,foot,55
565,tiny,55
566,returned,55
567,arrived,55
568,spell,55
569,pointed,55
570,wrong,55
571,used,54
572,stairs,54
573,silence,54
574,glanced,54
575,deep,54
576,team,54
577,kill,54
578,apparently,54
579,hat,54
580,slytherin,53
581,smiling,53
582,bellatrix,53
583,steps,53
584,yelled,53
585,quill,53
586,wearing,53
587,expression,53
588,dream,52
589,stand,52
590,stay,52
591,stuff,52
592,gazing,52
593,hadn,52
594,couple,52
595,filch,52
596,taken,52
597,giving,52
598,arts,52
599,noticed,52
600,suppose,52
601,dear,52
602,twenty,52
603,hurried,51
604,finished,51
605,became,51
606,sign,51
607,burst,51
608,entrance,51
609,chest,51
610,case,51
611,christmas,51
612,leaving,51
613,angry,51
614,ready,51
615,clear,51
616,run,51
617,whom,50
618,herself,50
619,castle,50
620,managed,50
621,realized,50
622,somebody,50
623,shook,50
624,teacher,50
625,heads,50
626,loud,49
627,ceiling,49
628,wide,49
629,noise,49
630,news,49
631,l,49
632,lesson,49
633,longer,49
634,suddenly,49
635,short,49
636,arthur,49
637,below,49
638,hurt,48
639,neck,48
640,ran,48
641,knows,48
642,speak,48
643,dean,48
644,none,48
645,grawp,48
646,six,48
647,walking,47
648,trunk,47
649,completely,47
650,sort,47
651,summer,47
652,laughter,47
653,flying,47
654,home,47
655,actually,47
656,group,47
657,parents,47
658,carefully,47
659,week,47
660,nice,47
661,hope,47
662,nodded,47
663,odd,47
664,seized,46
665,family,46
666,seem,46
667,hasn,46
668,crowd,46
669,parvati,46
