rank,word,frequency
1,the,3975
2,and,2271
3,to,1860
4,he,1757
5,a,1687
6,harry,1672
7,of,1266
8,it,1186
9,was,1186
10,you,1037
11,s,1007
12,in,967
13,his,936
14,i,923
15,t,840
16,said,794
17,had,701
18,they,690
19,that,688
20,on,637
21,at,625
22,as,526
23,him,500
24,but,485
25,potter,447
26,ron,429
27,stone,427
28,with,416
29,all,399
30,what,386
31,out,375
32,up,372
33,hagrid,370
34,for,370
35,be,366
36,k,359
37,page,349
38,philosophers,347
39,rowling,347
40,j,347
41,them,326
42,there,313
43,were,306
44,have,297
45,d,285
46,hermione,269
47,back,261
48,we,261
49,one,256
50,she,252
51,this,251
52,if,245
53,from,241
54,so,238
55,not,237
56,about,225
57,into,219
58,an,219
59,me,219
60,their,217
61,know,214
62,been,211
63,off,201
64,who,200
65,didn,199
66,got,199
67,could,198
68,get,195
69,no,195
70,like,192
71,down,182
72,her,180
73,professor,180
74,ve,180
75,just,180
76,see,180
77,when,178
78,don,174
79,is,174
80,very,172
81,over,171
82,snape,171
83,looked,169
84,do,168
85,now,166
86,then,165
87,dumbledore,160
88,are,158
89,by,150
90,can,150
91,your,149
92,ll,146
93,around,142
94,dudley,140
95,how,138
96,re,137
97,going,135
98,go,135
99,something,132
100,look,129
101,malfoy,128
102,right,127
103,m,126
104,never,126
105,through,125
106,think,123
107,uncle,122
108,yeh,121
109,well,120
110,time,120
111,neville,117
112,vernon,116
113,first,115
114,here,114
115,quirrell,113
116,only,111
117,more,111
118,looking,110
119,or,109
120,where,109
121,my,108
122,would,108
123,before,107
124,door,106
125,couldn,106
126,even,105
127,eyes,105
128,two,102
129,again,101
130,did,101
131,too,101
132,mcgonagall,100
133,head,99
134,people,96
135,thought,96
136,next,95
137,come,95
138,way,94
139,than,93
140,told,93
141,face,93
142,still,92
143,good,91
144,room,90
145,other,90
146,will,89
147,which,88
148,gryffindor,86
149,though,86
150,boy,85
151,because,85
152,last,84
153,its,84
154,left,82
155,us,81
156,mr,81
157,some,81
158,behind,79
159,hogwarts,79
160,three,79
161,ter,78
162,wasn,78
163,turned,77
164,house,77
165,much,76
166,say,75
167,heard,75
168,came,75
169,want,74
170,once,74
171,really,73
172,great,72
173,oh,72
174,anything,72
175,seemed,72
176,let,72
177,little,72
178,away,71
179,went,71
180,long,71
181,toward,71
182,tell,70
183,hand,69
184,yes,69
185,suddenly,69
186,school,69
187,found,69
188,after,68
189,why,68
190,bit,67
191,made,66
192,must,65
193,aunt,65
194,trying,65
195,himself,65
196,knew,64
197,wand,63
198,any,63
199,tried,63
200,saw,63
201,dark,62
202,take,61
203,put,61
204,took,60
205,everyone,60
206,while,60
207,wood,60
208,asked,60
209,quidditch,60
210,yer,60
211,voice,59
212,ever,59
213,old,59
214,inside,59
215,day,59
216,petunia,58
217,cloak,58
218,dursley,57
219,nothing,57
220,black,57
221,open,57
222,keep,56
223,another,56
224,might,55
225,few,55
226,find,54
227,filch,54
228,things,54
229,hadn,54
230,make,54
231,every,53
232,wouldn,53
233,seen,53
234,floor,53
235,front,52
236,pulled,52
237,years,52
238,large,51
239,feet,51
240,slytherin,50
241,gone,50
242,end,49
243,thing,49
244,course,49
245,started,49
246,night,49
247,dursleys,49
248,mind,49
249,felt,49
250,hall,49
251,enough,48
252,moment,48
253,weasley,48
254,lot,48
255,magic,48
256,wizard,48
257,o,47
258,air,47
259,almost,47
260,mirror,46
261,mrs,46
262,name,46
